"REALINC","REALRINC","WRKSTAT","HRS1","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSTA","SPWRKSLF","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","SIBS","CHILDS","AGE","EDUC","PAEDUC","MAEDUC","SPEDUC","SEX","RACE","RES16","REG16","MOBILE16","FAMILY16","INCOM16","BORN","PARBORN","GRANBORN","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","UNRELAT","EARNRS","REGION","RELIG","ATTEND","RELIG16","FUND16","SPREL","RACLIVE","HEALTH","WKSUB","WKSUBS","WKSUP","UNEMP","OWNGUN","PHONE","PARTNERS","PASEI10","PRESTG10","SEI10","SPPRES10","SPSEI10","YEAR","ID_","CLASS_","UNION_","ETH1"
32500,2000,"1",30,0,"23","62","1",0,0,"1",0,"62","62",0,"81",6,2,39,16,14,11,12,0,"1","3","8","3","1",3,1,"0","2",4,1,1,0,2,0,2,"9","1",5,"1","2","2",0,"2",1,1,1,NA,"2",3,NA,62.6,64,82.5,44,28.7,1987,"183","3","3","11"
37500,27500,"1",54,0,"16","51","1",0,0,"1",0,"51","51",0,"73",6,2,60,8,8,8,12,1,"1","3","8","3","1",3,1,"8","4",2,0,0,0,2,0,2,"9","2",0,"2","2","2",1,"1",1,1,1,NA,"1",3,NA,42.8,44,52.5,39,20.8,1987,"187","2","4","17"
55000,11250,"1",40,0,"31","14","1",0,0,"1",0,"14","14",0,"23",2,0,29,20,12,12,17,0,"1","6","9","2","1",4,1,"0","2",2,0,0,0,2,0,2,"9","1",5,"1","3","2",1,"2",1,0,1,NA,"1",3,NA,75.5,60,88.4,70,83.8,1987,"193","3","4","8"
27500,18750,"1",40,0,"51","47","1",0,0,"5",0,"47","47",1,"20",4,3,65,13,6,3,12,0,"1","2","8","3","1",4,0,"8","4",2,0,0,0,2,0,2,"9","2",2,"2","2","1",0,"2",1,1,1,NA,"1",3,NA,39.9,45,38.3,38,43,1987,"194","2","4","35"
90278,55000,"5",NA,0,"10","47","1",0,0,"1",0,"47","47",0,"91",5,3,57,16,8,8,12,1,"1","3","4","3","1",3,1,"0","0",2,0,0,0,2,0,2,"5","1",3,"1","1","1",1,"2",1,1,0,NA,"3",3,NA,31.6,60,87.9,28,21.6,1987,"197","3","4","10"
90278,23750,"1",40,0,"57","93","1",0,0,"1",0,"93","93",0,"82",2,4,57,12,9,12,16,0,"1","6","3","3","1",3,1,"1","4",2,0,0,0,2,0,2,"5","2",7,"2","2","5",1,"2",1,1,0,NA,"2",3,NA,25.1,47,38.8,39,60.3,1987,"198","3","2","15"
55000,45000,"1",40,0,"13","36","1",0,0,"7",0,"36","36",0,"67",4,4,45,18,14,12,16,1,"1","1","9","3","1",2,1,"0","0",2,0,0,0,2,0,2,"5","1",8,"1","1","1",1,"1",1,1,0,NA,"2",3,NA,27.2,65,85.2,55,58.6,1987,"200","3","4","27"
90278,92594,"7",NA,0,"10","42","1",0,0,"1",0,"42","42",0,"43",2,1,44,16,19,16,16,0,"1","5","5","3","1",4,1,"0","2",3,0,0,1,2,0,1,"5","4",1,"4","3","4",1,"1",1,1,1,NA,"1",3,NA,67.7,63,81,37,33.2,1987,"201","3","4","11"
45000,23750,"1",40,0,"57","10","1",0,0,"1",0,"10","10",0,"89",2,1,34,12,11,16,12,0,"2","3","1","3","1",2,1,"0","0",3,0,1,0,2,0,2,"5","1",8,"1","1","4",1,"1",1,1,1,NA,"2",3,NA,26.8,47,38.8,48,64.5,1987,"203","2","4","1"
55000,32500,"1",48,0,"47","91","1",1,0,"2",0,"91","91",0,"20",6,4,55,12,7,8,9,0,"1","5","5","1","1",2,1,"0","0",3,0,0,0,3,0,3,"5","1",4,"1","1","1",1,"3",1,0,0,NA,"2",3,NA,39.9,28,21.6,35,32,1987,"207","3","1","11"
55000,11250,"1",37,0,"57","37","1",0,0,"1",0,"37","37",0,"43",5,2,39,15,16,14,16,0,"1","6","7","3","1",4,1,"0","2",4,0,0,2,2,0,4,"5","2",5,"2","2","2",1,"1",1,1,0,NA,"2",3,NA,67.7,47,38.8,66,72.6,1987,"208","3","4","11"
90278,27500,"1",55,0,"16","43","1",0,0,"1",0,"43","43",0,"19",2,0,28,19,20,20,19,1,"1","6","0","3","1",4,0,"8","4",2,0,0,0,2,0,2,"5","4",0,"4","3","4",1,"1",1,1,0,NA,"2",3,NA,55.1,73,85.8,39,67.7,1987,"209","3","4","10"
90278,27500,"1",45,0,"21","43","1",0,0,"1",0,"43","43",0,"22",2,0,31,19,20,20,18,1,"1","6","2","3","1",4,1,"0","4",2,0,0,0,2,0,2,"5","3",3,"3","3","3",1,"1",1,1,0,NA,"2",4,NA,84.5,69,91.1,39,67.7,1987,"210","3","4","13"
90278,18750,"1",40,0,"23","13","1",0,0,"1",0,"13","13",0,"47",1,2,40,16,8,12,16,0,"1","5","7","2","1",3,1,"0","0",4,0,0,2,2,0,4,"7","1",3,"1","2","1",0,"1",1,1,0,NA,"2",3,NA,57.5,61,80.9,53,68.6,1987,"228","3","4","8"
45000,32500,"1",50,0,"55","47","1",0,0,"1",0,"47","47",0,"55",0,3,51,10,12,12,12,1,"1","2","7","1","1",2,1,"0","0",3,0,0,0,3,0,3,"7","2",7,"2","2","2",1,"2",1,1,0,NA,"1",3,NA,38.2,32,38.2,31,39.7,1987,"229","2","1","11"
32500,NA,"1",60,0,"47","89","1",0,0,"1",0,"89","89",0,"63",2,1,24,12,8,10,9,0,"1","4","7","1","1",3,1,"0","0",3,1,0,0,2,0,2,"7","1",1,"1","3","1",0,"2",1,1,1,NA,"1",3,NA,45.4,38,43,29,20.8,1987,"231","2","4","8"
37500,27500,"1",48,0,"22","51","1",0,0,"2",0,"51","51",0,"52",2,2,34,14,12,12,12,1,"1","3","7","1","1",4,1,"0","0",4,0,2,0,2,0,2,"7","2",7,"1","1","2",0,"2",1,0,1,NA,"1",3,NA,39.5,53,59.1,40,33.4,1987,"234","3","4","10"
45000,NA,"2",16,0,"23","23","1",0,0,"1",0,"23","23",0,"40",1,1,27,16,15,16,18,0,"1","3","7","2","1",3,1,"0","2",3,1,0,0,2,0,2,"7","2",5,"2","2","2",1,"1",1,1,1,NA,"1",3,NA,73.1,64,82.5,64,82.5,1987,"236","3","4","8"
90278,45000,"1",50,0,"48","23","1",1,0,"1",0,"23","23",0,"98",4,2,40,13,12,12,16,1,"1","5","0","3","3",2,1,"0","2",3,0,1,0,2,0,2,"7","1",2,"1","3","1",1,"2",1,1,0,NA,"2",3,NA,63.1,45,62,61,71.7,1987,"237","3","4","11"
13750,13750,"2",20,1,"62","57","1",0,0,"7",0,"57","57",0,"69",3,2,46,12,7,10,10,1,"1","1","7","1","1",2,1,"0","0",2,0,0,0,2,0,2,"7","1",8,"1","1","1",1,"2",0,NA,0,NA,"1",3,NA,36.7,44,28.7,47,38.8,1987,"239","2","1","8"
27500,3500,"2",16,0,"96","17","1",0,0,"1",0,"17","17",0,"77",10,0,24,17,11,12,16,1,"1","5","1","2","1",3,1,"0","3",2,0,0,0,2,0,2,"1","2",7,"2","2","2",1,"1",1,1,0,NA,"2",3,NA,25,22,14.8,72,86.6,1987,"252","3","4","32"
90278,55000,"1",50,0,"13","10","1",0,0,"1",0,"10","10",1,"13",2,0,37,17,17,12,16,1,"1","3","5","3","1",4,1,"1","4",2,0,0,0,2,0,2,"1","1",0,"1","3","1",0,"1",1,0,1,NA,"2",3,NA,84,73,84,72,77.4,1987,"254","3","4","19"
37500,32500,"5",NA,0,"74","91","1",0,0,"2",0,"91","91",0,"63",3,3,65,14,8,11,12,1,"1","3","5","3","1",2,1,"0","0",2,0,0,0,2,0,1,"2","1",5,"1","2","5",0,"3",1,1,0,NA,"2",3,NA,45.4,33,46.2,45,62.1,1987,"260","3","1","11"
32500,23750,"1",50,1,"43","49","1",0,0,"2",1,"49","49",1,"47",4,3,51,13,7,7,12,1,"1","3","0","3","1",3,0,"8","4",5,0,0,0,5,0,5,"2","2",2,"2","2","2",1,"2",0,NA,1,NA,"1",3,NA,43,42,39.6,21,32.6,1987,"262","3","4","15"
45000,45000,"1",56,0,"77","47","1",0,0,"7",0,"47","47",0,"42",4,3,34,13,10,10,12,1,"1","3","2","2","1",3,1,"0","0",5,2,1,0,2,0,1,"2","1",3,"1","2","2",0,"2",1,0,1,NA,"2",3,NA,37.6,50,46.5,31,39.7,1987,"264","2","4","11"
32500,11250,"1",36,0,"50","77","1",1,0,"1",0,"77","77",0,"91",3,0,31,12,8,16,16,0,"1","2","4","2","1",4,1,"0","1",2,0,0,0,2,0,2,"4","1",2,"2","2","1",0,"1",1,1,1,NA,"1",3,NA,32,46,52,50,46.5,1987,"273","2","4","24"
90278,45000,"1",38,0,"48","48","1",0,0,"1",0,"48","48",0,"80",1,2,58,16,14,8,12,1,"1","5","4","2","1",2,1,"0","0",2,0,0,0,2,0,2,"4","4",0,"1","2","1",1,"2",1,1,0,NA,"1",3,NA,76.3,38,61.5,38,61.5,1987,"277","3","3","8"
37500,37500,"1",55,0,"22","20","1",0,0,"7",0,"20","20",0,"43",2,1,35,17,17,16,17,1,"1","6","0","3","1",3,0,"8","4",3,1,0,0,2,0,1,"4","2",7,"2","2","2",1,"1",1,1,0,NA,"2",3,NA,67.7,74,84.5,46,39.9,1987,"278","3","4","21"
45000,NA,"1",38,0,"47","47","1",0,0,"7",0,"47","47",1,"47",1,0,26,14,9,12,12,0,"1","4","4","2","1",2,1,"0","0",2,0,0,0,2,0,2,"4","1",2,"1","3","4",0,"2",1,1,0,NA,"2",3,NA,43,31,39.7,38,43,1987,"279","2","4","9"
32500,27500,"1",40,0,"53","52","1",0,0,"2",0,"52","52",0,"14",1,4,55,16,16,12,12,1,"1","5","2","1","1",4,1,"0","1",4,0,0,1,3,0,3,"2","1",7,"1","2","1",1,"2",1,1,1,NA,"2",3,NA,86.5,49,42.7,29,39.5,1987,"295","3","4","24"
90278,37500,"1",40,0,"23","30","1",0,0,"1",1,"30","30",0,"33",1,0,39,16,20,14,20,0,"1","5","2","2","1",4,1,"0","2",2,0,0,0,2,0,2,"2","1",4,"2","2","1",0,"2",1,0,0,NA,"2",3,NA,60.5,61,80.9,72,92.1,1987,"296","4","1","10"
90278,92594,"1",55,1,"21","23","1",0,0,"7",0,"23","23",1,"47",1,3,53,19,8,8,18,1,"1","5","2","1","1",4,1,"0","2",5,0,0,1,4,0,4,"2","1",7,"1","3","1",0,"1",0,NA,1,NA,"2",3,NA,43,69,91.1,61,80.9,1987,"299","4","4","11"
45000,37500,"1",65,0,"14","31","1",1,0,"1",1,"31","31",0,"68",2,8,50,12,7,10,12,1,"1","3","2","1","1",3,1,"0","4",6,0,0,3,3,0,5,"2","2",5,"2","2","2",0,"1",1,1,1,NA,"1",3,NA,42.2,50,68,39,41,1987,"300","3","4","6"
