"PARTYID","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","TAX","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","ABANY","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","YEAR","ID_","CLASS_"
"5",3,"2","2","2","1",3,"2",1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,"2","1","2","1","2","2","2","2","3","3","2","2","2","2","2","2","3",4,5,1,2,3,"1",1,0,1,0,0,0,"2","2",1,0,0,NA,1,4,4,3,4,1987,"183","3"
"1",4,"1","2","1","2",1,"2",1,1,0,0,0,NA,0,1,0,0,0,1,1,1,0,1,1,"2","2","1","2","1","1",NA,"2","3","3","1","1","3",NA,"1","1","1",4,3,1,2,5,"3",1,1,1,0,1,1,"1","1",1,0,0,1,1,3,3,5,3,1987,"187","2"
"6",6,"2","1","1","2",1,"1",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,"2","1","2","2","3","2","2","2","1","3","2","2","2","2","2","1","2",4,5,1,2,3,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,4,3,2,5,1987,"193","3"
"5",4,"2","1","2","2",3,"1",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,"2","1","2","2","2","1","1","2","2","2","2","1","1","2","1","2","1",3,5,1,2,4,"1",1,1,1,1,1,0,"1","1",1,0,0,1,1,4,5,3,4,1987,"194","2"
"5",5,"2","1","2","2",7,"1",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,"2","1","2","2","2","1","1","1","2","2","2","1","1","1","1","1","1",5,4,1,3,2,"1",1,1,1,1,1,1,"2","1",1,0,0,0,1,4,2,2,2,1987,"197","3"
"0",3,"2","2","1","2",5,"2",1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,"2","1","2","1","2","2","1","1","2","2","2","2","2","1","2","2","3",5,4,1,3,2,"1",1,0,0,0,1,0,"1","1",0,0,0,1,1,2,3,3,3,1987,"198","3"
"4",6,"3","3","2","2",3,"1",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,NA,1,"2","1","2","3","2","2","2","2","2","3","3","2","3","2","1","2","2",4,5,1,2,3,"1",1,1,1,NA,NA,0,"1","1",1,0,0,1,1,4,4,4,5,1987,"200","3"
"1",3,"2","2","2","1",3,"1",1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","2","2","1","2","3","2","1","3","3","1","1","3","1","2","2","3",4,5,1,2,3,"1",1,1,1,1,1,1,"2","4",1,0,0,1,1,3,3,2,2,1987,"201","3"
"2",2,"1","1","2","2",6,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,"2","2","2","2","2","2","2","2","2","2","2","2","3","2","3","2","2",4,5,1,3,2,"1",0,0,0,0,0,0,"1","1",0,0,0,1,1,3,4,3,3,1987,"203","2"
"4",3,"1","1","1","1",3,"1",0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,"2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2",4,5,2,1,3,"2",1,1,1,1,1,1,"1","1",1,0,0,1,1,NA,1,1,5,1987,"207","3"
"1",3,"2","1","1","2",6,"1",1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,"2","2","2","2","2","2","2","2","3","2","2","2","3","2","1","2","2",5,4,1,2,3,"3",1,1,1,1,1,1,"2","3",0,0,0,0,1,4,3,3,4,1987,"208","3"
