"","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE","YEAR","ID_","CLASS_"
"120","2","1","2","2","1","2","3","1",0,0,"2","2","2","3",1984,"1198","2"
"121","1","1","2","2","2","4","3","2",0,0,"2","2","2","3",1984,"1209","2"
"122","3","1","2","2","2","1","2","2",0,0,"2","2","1","3",1984,"1212","2"
"123","1","2","1","1","1","3","1","1",0,0,"1","1","2","3",1984,"1236","2"
"124","7","1","1","1","1","1","2","1",0,0,"2","1","1","4",1984,"1239","2"
"125","2","1","1","3","2","2","2","1",0,0,"1","1","1","3",1984,"1241","3"
"126","2","1","1","3","2","1","3","3",0,0,"2","2","2","4",1984,"1254","2"
"127","0","1","3","1","1",NA,"1","3",0,1,"2","1","2","3",1984,"1260","3"
"128","0","2","1","1","1","1","2","3",0,0,"2","1","2","3",1984,"1269","4"
"129","4","1","1","2","1","2","3","2",0,0,"2","1","2","1",1984,"1271","2"
"130","1","2","3","3","1","1","3","2",0,NA,"2","2","2","1",1984,"1276","2"
"131","1","2","2","1","2","1","3","2",0,1,"2","2","2","3",1984,"1280","2"
"132","3","1","1","2","1","1","1","1",0,0,"2","1","1","3",1984,"1286","3"
"133","0","1","2","1","1","1","1","1",0,0,"2","2","2","3",1984,"1289","2"
"134","1","1","1","2","2","1","1","1",0,1,"1","1","1","3",1984,"1293","2"
"135","0","1","2","1","1","1","2","3",0,0,"1","1","1","1",1984,"1295","3"
"136","4","2","1","2","2","2","2","3",0,0,"1","2","1","3",1984,"1304","2"
"137","3","1","3","2","2","1","3","3",0,1,"2","2","1","3",1984,"1307","2"
"138","6","1","2","3","1","2","2","1",1,0,"1","2","1","3",1984,"1328","3"
"139","1","1","1","1","1","1","3","2",1,0,"2","1","1","3",1984,"1338","2"
"140","4","1","1","2","1","1","2","3",0,0,"1","1","1","3",1984,"1344","3"
"141","0","1","1","2","2","2","2","3",0,0,"1","1","1","3",1984,"1346","2"
"142","0","2","1","1","1","1","2","1",0,1,"2","1","2","3",1984,"1349","2"
"143","2","1","1","2","2","1","3","3",0,0,"2","2","2","3",1984,"1355","2"
"144","2","2","3","1","1","1","2","3",0,1,"2","2","2","3",1984,"1391","3"
"145","1","2","1","1","1","1","2","3",0,1,"1","1","1","3",1984,"1407","3"
"146","5","1","1","1","1","1","1","1",0,1,"1","1","2","3",1984,"1415","2"
"147","7","1","3","1","1","2","2","1",1,0,"1","1","1","3",1984,"1433","3"
"148","1","1","2","1","1","4","2","3",0,0,"2","1","1","3",1984,"1440","3"
"149","1","1","2","2","2","2","2","3",0,0,"1","1","1","3",1984,"1457","3"
"150","2","1","2","2","2","2","1","2",1,0,"1","2","1","3",1984,"1464","2"
"151","1","2","3","3","2","2","2","3",0,1,"2","2","2","3",1987,"5","3"
"152","6","1",NA,"1","1","1","1","1",1,0,"2","2","2","3",1987,"14","2"
"153","0","1","2","2","2","2","3","1",0,1,"2","2","2","3",1987,"23","3"
"154","0","1","1","3","2","2","3","3",0,0,"2","2","2","3",1987,"28","2"
"155","0","1","2","1","2","2","2","3",0,1,"2","2","2","3",1987,"32","2"
"156","1","1","3","2","2","3","3","2",1,0,"2","2","2","1",1987,"33","2"
"157","4","2","2","2","2","2","1","1",0,1,"2","2","1","3",1987,"36","2"
"158","5","1","2","2","1","4","2","1",0,0,"2","2","2","3",1987,"38","3"
"159",NA,"1","2","1","1","1","1","1",0,0,"2","1","2","4",1987,"39","3"
"160","4","1","2","2","2","1","1","1",1,0,"2","2","2","3",1987,"41","3"
"161","6","1","2","2","2","2","1","3",1,1,"2","2","1","3",1987,"43","3"
"162","5","2","2","2","2","2","2","1",1,0,"2","2","2","3",1987,"45","3"
"163","1","1","2","1","1","1","1","1",0,0,"2","2","2","3",1987,"46","3"
"164","5","2","1","1","1","1","2","1",0,0,"2","2","2","3",1987,"47","3"
"165","1","1","2","2","1","2","1","1",1,1,"2","2","2","3",1987,"64","3"
"166","5","1","1","2","2","3","1","1",0,1,"2","2","2","3",1987,"68","3"
"167","1",NA,"1","2","2","3","3","3",0,0,"2","2","2","1",1987,"77","2"
"168","3","1","3","3","3","2","3","2",0,1,"2","2","2","4",1987,"83","1"
"169","5","2",NA,"2","1","2","3","3",0,0,"2","2","2","3",1987,"84","3"
"170","6","2","3","1","1","1","1","3",0,1,"2","1","2","3",1987,"88","3"
"171","0",NA,"1","2","2","2","2","2",0,1,"2","2","2","3",1987,"89","2"
"172","0","1","3","2","1","2","1","1",0,0,"2","2","2","3",1987,"91","3"
"173","3","1","1","2","2","1","3","2",0,0,"1","2","2","3",1987,"92","2"
"174","2","2","2","2","2","2","3","3",0,1,"2","2","2","3",1987,"97","2"
"175","0","1","2","1","2","1","2","2",1,1,"2","2","2","3",1987,"100","2"
"176","0","1","1","2","2","1","2","3",0,1,"1","2","2","3",1987,"107","2"
"177","6","2","1","1","1","1","2","3",0,0,"2","2","1","3",1987,"114","3"
"178","0","1","1","2","2","2","2","3",0,0,"2","2","2","3",1987,"115","2"
"179","6","2","1","1","1","1","1","1",0,NA,"2","1","2","3",1987,"116","3"
"180","5","1","3","1","1","1","1","3",0,0,"1","1","1","3",1987,"117","4"
"181","7","2","1","2","1","1","1","3",0,0,"1","2","1","3",1987,"118","2"
"182","0","1","2","1","1","1","1","1",0,0,"2","1","2","3",1987,"119","4"
"183","2","1","2","1","1","1","1","1",0,1,"2","2","2","3",1987,"121","4"
"184","6","1","1","1","1","1","1","1",1,0,"2","2","2","3",1987,"122","2"
"185","3","1","2","2","2","2","2","2",0,1,"2","2","2","3",1987,"131","2"
"186","4","2","3","1","2","2","2","1",0,0,"2","2","2","3",1987,"137","2"
"187","0","1","2","3","3",NA,"3","2",0,1,"2","2","2","3",1987,"139","2"
"188","1","1","3","2","1","2","2","1",0,0,"2","1","2","3",1987,"141","2"
"189","5","1","2","3","1","4","3","2",1,1,"2","2","1","3",1987,"144","2"
"190","3","1","3","2","1","2","2","1",0,0,"2","2","2","3",1987,"145","2"
"191","5","1","1","2","2","1","2","3",0,0,"2","2","2","3",1987,"147","2"
"192","2","1","2","2","1","3","3","1",1,1,"2","2","1","3",1987,"153","2"
"193","3","1","1","1","2","2","1","1",0,0,"2","2","2","3",1987,"158","3"
"194","0","1","1","1","1",NA,"1","3",0,1,"2","1","2","3",1987,"159","3"
"195","5","2","2","1","1","2","2","1",0,1,"2","2","1","3",1987,"171","3"
"196","4","1","2","2","1","3","1","1",1,1,"2","2","2","3",1987,"174","2"
"197","2","1","3","2","2","2","1","1",0,1,"1","1","1","3",1987,"176","3"
"198","5","2","2","2","2","2","2","2",1,1,"2","2","2","3",1987,"183","3"
"199","1","2","2","1","1","1","1","1",0,1,"2","2","1","3",1987,"187","2"
"200","6","1","3","2","1","1","1","1",0,1,"1","1","1","3",1987,"193","3"
"201","5","1","2",NA,"2","1","2","2",0,1,"1","2","2","3",1987,"194","2"
"202","5","1","3","2","2",NA,"2","3",0,0,"3","3","3","3",1987,"197","3"
"203","0","2","2","2","1","2","1","1",0,0,"2","2","2","3",1987,"198","3"
"204","4","1","1","2","2","2","2","3",0,0,"2","2","2","3",1987,"200","3"
"205","1","1","3","2","2","2","1","3",0,0,"1","2","2","3",1987,"201","3"
"206","2","1","1","1","2","3","2","3",0,1,"2","2","2","3",1987,"203","2"
"207","4","1","1","2","2","1","2","3",0,1,"2","2","2","3",1987,"207","3"
"208","1","1","2","2","2","3","2","1",1,1,"2","2","2","3",1987,"208","3"
"209","7","2","3","1","1","1","1","1",0,0,"2","2","2","3",1987,"209","3"
"210","1","1","3","2","1","2","1","1",0,1,"2","2","2","4",1987,"210","3"
"211","6","1","3","1","2","2","2","1",0,1,"1","1","2","3",1987,"227","3"
"212","1","2","3","1","1","1","1","1",0,1,"2","2","2","3",1987,"228","3"
"213","0","1","2","1","2","1","1","1",0,1,"1","2","1","3",1987,"229","2"
"214","5","1","3","1","2","2","2","1",1,1,"1","1","2","3",1987,"231","2"
"215","4","1","2","1","1","1","1","1",0,0,"2","1","2","3",1987,"234","3"
"216","1","1","1","2","2","1","2","3",0,0,"1","2","1","3",1987,"235","3"
"217","4","2","2","1","1","1","2","2",0,0,"1","2","2","3",1987,"236","3"
"218","6","1","3","2","1","1","1","1",1,0,"2","2","2","3",1987,"237","3"
"219","3","1","1","1","1","1","2","2",0,0,"1","1","1","3",1987,"239","2"
